hardware,framework,model,quant,task_id,n,ttft_p50,e2e_p50,e2e_p95,e2e_mean,e2e_stdev,output_chars_mean,unique_hashes,profile,hw_ntd_per_hour,power_ntd_per_hour,overhead_ntd_per_hour,total_ntd_per_hour,ntd_per_task_total,ntd_per_task_hw_only
h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,6,0.03715870913583785,1.3022634725784883,1.3342276330222376,1.308818515855819,0.01552444094419743,850.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01467,0.01239
h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,drug_zh,5,0.033588438061997294,0.9282915340736508,0.9352041884791106,0.9285750358365477,0.005141398264988111,233.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01046,0.00883
h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,icd_zh,5,0.03163225296884775,0.6040328040253371,0.6059120326768607,0.6041489436291159,0.0011983743172485517,102.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0068,0.00575
h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,soap_en,10,0.044339947984553874,1.6471825825283304,1.6623485081945546,1.6323661610949785,0.033036178908371606,877.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01855,0.01567
h200-nvl,llamacpp,gemma-4-31B-it,Q4_K_M,ddx_en,5,0.09964817599393427,2.477342286147177,2.483642430184409,2.474619144620374,0.008587785295260046,708.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0279,0.02357
h200-nvl,llamacpp,gemma-4-31B-it,Q4_K_M,drug_zh,5,0.08351063495501876,2.1740771969780326,2.1754036145750435,2.16932369498536,0.006696618587404942,230.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02449,0.02068
h200-nvl,llamacpp,gemma-4-31B-it,Q4_K_M,icd_zh,5,0.0820430729072541,0.4721821891143918,0.47407431052997706,0.4697949354536831,0.0043112708923296415,32.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00532,0.00449
h200-nvl,llamacpp,gemma-4-31B-it,Q4_K_M,soap_en,5,0.11006271303631365,3.189014694886282,3.203037751885131,3.190875884378329,0.008560244525255658,740.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.03592,0.03034
h200-nvl,llamacpp,glm-4.7-flash,Q4_K_M,ddx_en,5,0.027627528179436922,1.6764895308297127,1.6786257944535463,1.668939689733088,0.016037021497664703,1050.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01888,0.01595
h200-nvl,llamacpp,glm-4.7-flash,Q4_K_M,drug_zh,5,0.030192920938134193,2.1736511820927262,2.197276785084978,2.178781613241881,0.016004544337081605,401.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02448,0.02068
h200-nvl,llamacpp,glm-4.7-flash,Q4_K_M,icd_zh,5,0.026662789983674884,0.5181982030626386,0.5189707090612501,0.518373709730804,0.00038909258893552714,80.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00584,0.00493
h200-nvl,llamacpp,glm-4.7-flash,Q4_K_M,soap_en,5,0.028887307969853282,1.7652368310373276,1.7716829088050872,1.7642715046182276,0.006271095893056397,979.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01988,0.01679
h200-nvl,llamacpp,medgemma-27b-text-it,Q4_K_M,ddx_en,5,0.07096013613045216,2.680496795102954,2.693706086464226,2.682296837028116,0.007810700686192706,789.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.03019,0.0255
h200-nvl,llamacpp,medgemma-27b-text-it,Q4_K_M,drug_zh,5,0.061607575975358486,2.5620269409846514,2.5774814570788296,2.5653159263543786,0.00792189663319781,317.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.02886,0.02437
h200-nvl,llamacpp,medgemma-27b-text-it,Q4_K_M,icd_zh,5,0.06129790795966983,0.7815292691811919,0.782748434599489,0.7794039400760084,0.003826720241821072,58.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.0088,0.00743
h200-nvl,llamacpp,medgemma-27b-text-it,Q4_K_M,soap_en,5,0.07905803201720119,3.964003053959459,3.9890602867119016,3.9691910019144414,0.015591339396706457,1132.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.04465,0.03771
h200-nvl,llamacpp,medgemma-4b-it,Q4_K_M,ddx_en,5,0.027175518916919827,0.7468998259864748,0.7615539395716041,0.751097398577258,0.006788006368221055,667.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00841,0.00711
h200-nvl,llamacpp,medgemma-4b-it,Q4_K_M,drug_zh,5,0.02302146190777421,0.7036874641198665,0.8113346130121499,0.7308555884286762,0.05271733686540028,255.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00793,0.00669
h200-nvl,llamacpp,medgemma-4b-it,Q4_K_M,icd_zh,5,0.023314574966207147,0.3899043891578913,0.39140442088246347,0.39020929485559464,0.0007892509561086556,79.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.00439,0.00371
h200-nvl,llamacpp,medgemma-4b-it,Q4_K_M,soap_en,5,0.030607638880610466,1.0490145219955593,1.0628288845997305,1.0522171809803695,0.006886201076072058,869.0,1,h200-nvl-server,34.2466,4.5,1.8,40.5466,0.01181,0.00998
