hardware,model,task_id,n_prompts,n_runs,e2e_p50,ntd_per_task,ntd_per_task_ci_lo,ntd_per_task_ci_hi
h200-nvl,gemma-4-E4B-it,ddx_en,30,300,15.0929,0.16999,0.16517,0.17325
h200-nvl,gemma-4-E4B-it,soap_en,30,301,14.8700,0.16748,0.15749,0.17391
h200-nvl,medgemma-27b-text-it,ddx_en,30,150,4.8623,0.05476,0.05395,0.05585
h200-nvl,medgemma-27b-text-it,soap_en,30,150,7.0285,0.07916,0.07349,0.08311
h200-nvl,qwen3.6-35b-a3b,ddx_en,30,150,5.2651,0.05930,0.05560,0.06204
h200-nvl,qwen3.6-35b-a3b,soap_en,30,152,6.5891,0.07421,0.07006,0.08837
macmini-m4-pro-48gb,mlx-community/Qwen3.6-35B-A3B-4bit,ddx_en,30,150,10.1767,0.00380,0.00361,0.00400
macmini-m4-pro-48gb,mlx-community/Qwen3.6-35B-A3B-4bit,soap_en,30,150,16.2653,0.00607,0.00571,0.00667
macmini-m4-pro-48gb,mlx-community/gemma-4-26b-a4b-it-4bit,ddx_en,21,105,24.4607,0.00913,0.00809,0.00964
macmini-m4-pro-48gb,mlx-community/gemma-4-26b-a4b-it-4bit,soap_en,30,150,46.8920,0.01750,0.01230,0.01903
